2022-01-27/17:08:14		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-01-27/17:08:16		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-01-27/17:08:16		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-01-27/17:08:18		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-01-27/17:08:20		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-01-27/17:08:21		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-01-27/17:08:23		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-01-27/17:08:24		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-01-27/17:08:25		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-01-27/20:40:24		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-01-27/20:40:25		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-01-27/20:40:25		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-01-27/20:40:25		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-01-27/20:40:26		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-01-27/20:40:26		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-01-27/20:40:27		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-01-27/20:40:29		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-01-27/20:40:29		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-01-27/21:01:32		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-01-27/21:01:33		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-01-27/21:01:33		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-01-27/21:01:34		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-01-27/21:01:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-01-27/21:01:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-01-27/21:01:35		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-01-27/21:01:36		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-01-27/21:01:36		 wafer_29012020_050617.csv: File Transformed successfully!!
